Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004]
Burundi,BDI,Child malnutrition,5.51.01.02.malnut,1,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.33333,0.66667,0.66667,0.66667,0.66667,0.33333,0.33333,0.33333,0.33333
Honduras,HND,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,AGO,National accounts base year,2.01.01.02.nabase,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1
Albania,ALB,Per capita GDP growth,5.51.01.10.gdp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Indonesia,IDN,HIV/AIDS,5.51.01.05.hiv,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,AZE,Per capita GDP growth,5.51.01.10.gdp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bangladesh,BGD,Primary completion,5.51.01.08.primcomp,0,0,0,0.66667,0.33333,0.66667,0.66667,0,0,0,0,0,0,0,0,0,0
Palau,PLW,Balance of payments manual in use,2.04.01.01.excncpt,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,..
Jamaica,JAM,Vital registration system coverage,3.11.01.03.popreg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Burundi,BDI,Maternal health,5.51.01.06.matern,1,1,1,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333
Malawi,MWI,Overall Average,IQ.SCI.OVRL,70,73.3333333333333,77.7778,77.7778,74.4444666666667,75.5555666666667,75.5555555555556,78.8888888888889,74.4444444444444,77.7777777777778,78.8888888888889,73.3333333333333,73.3333333333333,75.5555555555556,67.7777777777778,64.4444444444444,67.7777777777778
Syrian Arab Republic,SYR,Access to water,5.51.01.09.water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belize,BLZ,Primary completion,5.51.01.08.primcomp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..
Kenya,KEN,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fiji,FJI,Per capita GDP growth,5.51.01.10.gdp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..
"Egypt, Arab Rep.",EGY,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,90,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100
"Congo, Rep.",COG,Maternal health,5.51.01.06.matern,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0,0,0,0
Zimbabwe,ZWE,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Venezuela, RB",VEN,Maternal health,5.51.01.06.matern,1,1,1,1,0.66667,0.66667,0.33333,0.66667,0.66667,0.66667,1,1,1,1,0.66667,0.66667,0.66667
Panama,PAN,Per capita GDP growth,5.51.01.10.gdp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Armenia,ARM,Balance of payments manual in use,2.04.01.01.excncpt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brazil,BRA,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,90,90,90,80,90,90,90,80,80,90,90,90,90,100,100,100,90
Indonesia,IDN,National immunization coverage,5.13.01.01.who,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nigeria,NGA,Import and export price indexes,5.04.01.02.impexp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,NIC,Child malnutrition,5.51.01.02.malnut,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,1,1,1,1,1,0.66667,0.66667,1,1,0.66667
Suriname,SUR,Income poverty,5.51.01.01.poverty,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,..
Guyana,GUY,Industrial production index,5.01.01.01.indust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Turkey,TUR,Vital registration system coverage,3.11.01.03.popreg,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Pakistan,PAK,National accounts base year,2.01.01.02.nabase,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
Sao Tome and Principe,STP,Overall Average,IQ.SCI.OVRL,57.7778333333333,63.3333333333333,63.3333333333333,70,60.0000333333333,65.5555666666667,68.8888888888889,70,63.3333333333333,61.1111111111111,61.1111111111111,65.5555555555556,60,60,51.1111111111111,51.1111111111111,..
"Yemen, Rep.",YEM,Maternal health,5.51.01.06.matern,0.66667,1,1,1,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,1,0.66667,0.66667,0.66667,0.33333,0.66667,0.66667
Central African Republic,CAF,Agricultural census,3.01.04.01.agcen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,PRY,Vital registration system coverage,3.11.01.03.popreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,PHL,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rwanda,RWA,Balance of payments manual in use,2.04.01.01.excncpt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burkina Faso,BFA,Access to water,5.51.01.09.water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Grenada,GRD,Access to water,5.51.01.09.water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..
Georgia,GEO,Child malnutrition,5.51.01.02.malnut,0.33333,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,1,1,1,1,0.66667,0.66667,0.66667,0.66667,0.66667
Costa Rica,CRI,Income poverty,5.51.01.01.poverty,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Philippines,PHL,Overall Average,IQ.SCI.OVRL,82.2222333333333,81.1111333333333,81.1111333333333,82.2222,82.2222,82.2222,77.7777777777778,84.4444444444444,83.3333333333333,88.8888888888889,88.8888888888889,92.2222222222222,92.2222222222222,88.8888888888889,83.3333333333333,86.6666666666667,81.1111111111111
Paraguay,PRY,HIV/AIDS,5.51.01.05.hiv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Serbia,SRB,HIV/AIDS,5.51.01.05.hiv,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
Guinea,GIN,Health survey,5.13.01.01.hlthsurv,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1
Guinea-Bissau,GNB,Vital registration system coverage,3.11.01.03.popreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,ZMB,Industrial production index,5.01.01.01.indust,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,SRB,National immunization coverage,5.13.01.01.who,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
El Salvador,SLV,Primary completion,5.51.01.08.primcomp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Thailand,THA,Vital registration system coverage,3.11.01.03.popreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Congo, Rep.",COG,Child malnutrition,5.51.01.02.malnut,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0,0,0,0
Guyana,GUY,Balance of payments manual in use,2.04.01.01.excncpt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..
"Yemen, Rep.",YEM,National accounts base year,2.01.01.02.nabase,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Rwanda,RWA,Government finance accounting,3.02.01.02.fscov,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Colombia,COL,Import and export price indexes,5.04.01.02.impexp,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Mongolia,MNG,Government finance accounting,3.02.01.02.fscov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Malawi,MWI,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gabon,GAB,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Timor-Leste,TLS,Per capita GDP growth,5.51.01.10.gdp,1,1,1,0.66667,1,1,1,1,1,1,1,0.66667,0.66667,0.66667,0.33333,0.33333,..
Malaysia,MYS,Primary completion,5.51.01.08.primcomp,0.66667,1,1,1,1,0,0,0,0,0.33333,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667
Maldives,MDV,Consumer price index base year,2.01.03.01.prcpbase,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,..
Iraq,IRQ,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,60,63.3334,63.3334,66.6667,60,66.6667,60,70,70,70,63.33333,63.33333,63.33333,56.66667,60,60,56.66667
Armenia,ARM,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,90,90,90,100,100,100,80,80,80,80,80,80,80,80,80,80,80
North Macedonia,MKD,Population census,3.11.01.01.popcen,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Indonesia,IDN,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Philippines,PHL,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,96.6667,93.3334,93.3334,86.6666,86.6666,86.6666,73.3333333333333,93.3333333333333,90,96.66667,96.66667,96.66667,96.66667,96.66667,90,90,93.33333
Trinidad and Tobago,TTO,Special Data Dissemination Standard,5.21.01.01.sdds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,ROU,National accounts base year,2.01.01.02.nabase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Timor-Leste,TLS,Health survey,5.13.01.01.hlthsurv,0.5,0.5,0.5,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,..
Jamaica,JAM,Primary completion,5.51.01.08.primcomp,0.66667,0.66667,0.33333,0,0,0,0,0.66667,0.66667,0.33333,0.33333,0.33333,0.33333,0.66667,0.66667,0.66667,0.66667
Togo,TGO,Industrial production index,5.01.01.01.indust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic,KGZ,Agricultural census,3.01.04.01.agcen,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
India,IND,Income poverty,5.51.01.01.poverty,0.66667,0.66667,0.66667,1,1,1,0.66667,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.33333,0.33333,0.33333
Somalia,SOM,Balance of payments manual in use,2.04.01.01.excncpt,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,BLZ,Per capita GDP growth,5.51.01.10.gdp,1,1,1,1,1,0.66667,1,0.66667,1,1,1,1,1,1,1,1,..
Rwanda,RWA,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,100,96.6667,96.6667,93.3334,90.0001,90.0001,86.6666666666667,90,90,83.33333,83.33333,83.33333,80,80,83.33333,90,83.33333
Tajikistan,TJK,Import and export price indexes,5.04.01.02.impexp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,ZMB,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,70.0001,76.6667,76.6667,76.6667,80.0001,80.0001,80,80,86.66667,90,83.33333,86.66667,86.66667,86.66667,86.66667,86.66667,86.66667
Cameroon,CMR,Overall Average,IQ.SCI.OVRL,46.6667,56.6667,56.6667,70.0000333333333,68.8889,55.5555666666667,56.6666666666667,56.6666666666667,60,64.4444444444444,66.6666666666667,63.3333333333333,66.6666666666667,63.3333333333333,63.3333333333333,50,51.1111111111111
Philippines,PHL,Access to water,5.51.01.09.water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Venezuela, RB",VEN,Government finance accounting,3.02.01.02.fscov,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Suriname,SUR,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,73.3333,83.3334,83.3334,86.6667,76.6667,76.6668,80,80,83.33333,90,83.33333,80,76.66667,76.66667,73.33333,70,..
Ecuador,ECU,Agricultural census,3.01.04.01.agcen,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"Yemen, Rep.",YEM,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Asia,SAS,Poverty survey,5.14.01.01.povsurv,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tanzania,TZA,External debt reporting status,5.04.01.01.exdebt,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0
"Yemen, Rep.",YEM,Consumer price index base year,2.01.03.01.prcpbase,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
Mauritania,MRT,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nauru,NRU,Child malnutrition,5.51.01.02.malnut,0.33333,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,Consumer price index base year,2.01.03.01.prcpbase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,GUY,Overall Average,IQ.SCI.OVRL,45.5555666666667,50,55.5555333333333,55.5555333333333,57.7778,56.6667,58.8888888888889,58.8888888888889,55.5555555555556,58.8888888888889,53.3333333333333,55.5555555555556,53.3333333333333,54.4444444444444,52.2222222222222,55.5555555555556,..
Namibia,NAM,Health survey,5.13.01.01.hlthsurv,0,0,0.5,1,1,1,0.5,1,1,1,1,1,1,1,0.5,0.5,0.5
Djibouti,DJI,Access to water,5.51.01.09.water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..
Sudan,SDN,Income poverty,5.51.01.01.poverty,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0
China,CHN,Industrial production index,5.01.01.01.indust,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Ukraine,UKR,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,76.6666,76.6666,83.3334,83.3334,90,93.3333,93.3333333333333,93.3333333333333,96.66667,96.66667,93.33333,93.33333,93.33333,93.33333,93.33333,90,90
Colombia,COL,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Tuvalu,TUV,Consumer price index base year,2.01.03.01.prcpbase,1,1,1,1,1,1,1,0,..,..,..,..,..,..,..,..,..
Angola,AGO,Per capita GDP growth,5.51.01.10.gdp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tunisia,TUN,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Morocco,MAR,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,1,1,1
Eswatini,SWZ,National accounts base year,2.01.01.02.nabase,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0
Senegal,SEN,Consumer price index base year,2.01.03.01.prcpbase,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
Colombia,COL,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Vital registration system coverage,3.11.01.03.popreg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nicaragua,NIC,Population census,3.11.01.01.popcen,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dominican Republic,DOM,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,60,60,70,70,70,60,60,50,50,50,50,50,50,50,40,60,60
Gabon,GAB,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Papua New Guinea,PNG,Income poverty,5.51.01.01.poverty,0.33333,0.33333,0.33333,0.33333,0.33333,0,0,0,0,0,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333
Mali,MLI,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,90,93.3334,93.3334,86.6667,86.6667,86.6667,90,93.3333333333333,90,90,90,90,83.33333,83.33333,86.66667,83.33333,76.66667
Sub-Saharan Africa (excluding high income),SSA,National immunization coverage,5.13.01.01.who,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA total,IDA,Vital registration system coverage,3.11.01.03.popreg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Togo,TGO,Primary completion,5.51.01.08.primcomp,0.66667,1,1,1,1,1,1,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667
Botswana,BWA,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,20,20,20,40,20,30,40,30,40,30,30,30,40,30,30,50,50
Paraguay,PRY,National accounts base year,2.01.01.02.nabase,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,VNM,National immunization coverage,5.13.01.01.who,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Equatorial Guinea,GNQ,Consumer price index base year,2.01.03.01.prcpbase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Europe & Central Asia (excluding high income),ECA,Child mortality,5.51.01.03.mortal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA total,IDA,Consumer price index base year,2.01.03.01.prcpbase,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Montenegro,MNE,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,86.6667,86.6667,90.0001,90.0001,76.6667,76.6667,76.6666666666667,76.6666666666667,73.33333,63.33333,63.33333,60,50,43.33333,40,36.67,60
Kyrgyz Republic,KGZ,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,100,100,100,100,96.6667,96.6667,90,93.3333333333333,93.33333,93.33333,96.66667,93.33333,93.33333,93.33333,90,93.33333,83.33333
Thailand,THA,External debt reporting status,5.04.01.01.exdebt,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Moldova,MDA,Balance of payments manual in use,2.04.01.01.excncpt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Liberia,LBR,Health survey,5.13.01.01.hlthsurv,0.5,0,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0
Burkina Faso,BFA,Special Data Dissemination Standard,5.21.01.01.sdds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,PHL,Per capita GDP growth,5.51.01.10.gdp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Moldova,MDA,Gender equality,5.51.01.07.gender,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.66667
Gabon,GAB,Industrial production index,5.01.01.01.indust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Kitts and Nevis,KNA,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,58.3334,63.3334,70,70,70,70,66.6666666666667,70,63.33333,63.33333,63.33333,63.33333,63.33333,70,70,63.33333,..
Eritrea,ERI,Child malnutrition,5.51.01.02.malnut,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0.66667,1,0.66667,0.66667
Cabo Verde,CPV,Industrial production index,5.01.01.01.indust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Pakistan,PAK,Gender equality,5.51.01.07.gender,1,1,1,1,1,1,1,1,1,1,1,1,0.66667,0.66667,0.33333,0.33333,0
Panama,PAN,Income poverty,5.51.01.01.poverty,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Grenada,GRD,Maternal health,5.51.01.06.matern,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..
Seychelles,SYC,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,70,70,70,60,60,60,60,50,60,80,80,70,70,70,..
Burundi,BDI,Special Data Dissemination Standard,5.21.01.01.sdds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,NPL,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Yemen, Rep.",YEM,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,73.3333,76.6666,86.6668,83.3334,73.3335,76.6668,76.6666666666667,76.6666666666667,70,73.33333,86.66667,86.66667,83.33333,86.66667,76.66667,80,80
Malaysia,MYS,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burkina Faso,BFA,Consumer price index base year,2.01.03.01.prcpbase,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
Philippines,PHL,Consumer price index base year,2.01.03.01.prcpbase,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
Kenya,KEN,National accounts base year,2.01.01.02.nabase,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
Brazil,BRA,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tunisia,TUN,Maternal health,5.51.01.06.matern,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667,0.33333,0.66667,0.66667,0.66667,0.66667,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667
South Africa,ZAF,Agricultural census,3.01.04.01.agcen,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Zimbabwe,ZWE,National accounts base year,2.01.01.02.nabase,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Middle East & North Africa (excluding high income),MNA,Immunization,5.51.01.04.immun,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Consumer price index base year,2.01.03.01.prcpbase,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Jordan,JOR,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Gambia, The",GMB,Industrial production index,5.01.01.01.indust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,IND,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Seychelles,SYC,Gender equality,5.51.01.07.gender,1,1,1,1,1,1,0.66667,1,0.66667,0.66667,0.66667,0.66667,0.66667,1,1,1,..
Mongolia,MNG,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,100,100,90,100,100,100,100,100,80,80,80,80,80,80,80,80,60
Benin,BEN,Primary completion,5.51.01.08.primcomp,0.66667,0.66667,1,1,1,0.66667,0.66667,0.66667,0.33333,0.33333,0.33333,0.33333,0.66667,0.66667,1,0.66667,0.66667
Marshall Islands,MHL,National immunization coverage,5.13.01.01.who,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,..
Colombia,COL,Child malnutrition,5.51.01.02.malnut,0.66667,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667
Argentina,ARG,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vanuatu,VUT,Overall Average,IQ.SCI.OVRL,36.6666666666667,48.8888666666667,45.5555333333333,52.2222,50,45.5555666666667,43.3333333333333,43.3333333333333,47.7777777777778,53.3333333333333,42.2222222222222,56.6666666666667,58.8888888888889,48.8888888888889,51.1111111111111,44.4444444444444,..
Croatia,HRV,Child malnutrition,5.51.01.02.malnut,0,0,0,0,0,0,0,0,0,0,0,0.33333,0.66667,1,1,1,1
Colombia,COL,National immunization coverage,5.13.01.01.who,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nicaragua,NIC,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,30,30,40,70,70,70,60,60,80,80,80,80,80,80,80,80,80
